##	##
simulation time	timestep	input EIR	simulated EIR	human infectiousness	N_v0(gambiae_ss)	N_v(gambiae_ss)	O_v(gambiae_ss)	S_v(gambiae_ss)	immunity h	immunity Y	new infections	num transmitting humans	res avail(gambiae_ss)	res req(gambiae_ss)
0	nan	1.53596	0	0	0	3800.31	296.424	79.8065	0	0	0	0	837.284	nan
1	nan	1.44137	-nan	0	455.816	4133.59	242.565	65.3059	0	0	0	0	778.301	nan
2	nan	1.34459	-nan	0	426.196	4076.05	159.3	42.8885	0	0	0	0	726.671	nan
3	nan	1.24957	-nan	0	401.034	3954.42	104.571	28.1538	0.01	0	1	0	683.241	nan
4	nan	1.15964	-nan	0	381.514	3807.47	68.5941	18.4676	0.02	0	1	0	648.55	nan
5	nan	1.0774	-nan	0	366.589	3659.64	44.9949	12.114	0	0	0	0	622.95	nan
6	nan	1.00476	-nan	0	357.005	3527.71	29.5155	7.94647	0	0	0	0	606.736	nan
7	nan	0.942985	-nan	0	353.002	3423.37	19.3609	5.21255	0	0	0	0	600.257	nan
8	nan	0.892906	-nan	0	354.889	3355.3	12.6997	3.41916	0	0	0	0	604.023	nan
9	nan	0.855046	-nan	0	363.104	3330.46	8.33029	2.24277	0	0	0	0	618.796	nan
10	nan	0.829804	-nan	0	378.265	3355.32	5.46445	1.4712	0	0	0	0	645.671	nan
11	nan	0.817617	-nan	0	401.213	3436.14	3.58441	0.965032	0	0	0	0	686.159	nan
12	nan	0.819101	-nan	0	433.054	3580.51	2.35113	0.632997	0	0	0	0	742.245	nan
13	nan	0.835179	-nan	0	475.182	3797.48	1.54218	0.415201	0	0	0	0	816.435	nan
14	nan	0.867198	-nan	0	529.298	4097.86	1.01151	0.272329	0	0	0	0	911.769	nan
15	nan	0.917032	-nan	0	597.373	4495.04	0.663457	0.178623	0.01	0	1	0	1031.77	nan
16	nan	0.987176	-nan	0	681.589	5004.24	0.435171	0.117161	0.02	0	1	0	1180.29	nan
17	nan	1.08081	-nan	0	784.189	5642.43	0.285433	0.0768473	0.02	0	1	0	1361.25	nan
18	nan	1.20184	-nan	0	907.228	6427.36	0.187215	0.050404	0.02	0.277307	0	0	1578.18	nan
19	nan	1.35484	-nan	0	1052.23	7376.15	0.122793	0.0330597	0.03	0.886868	1	0	1833.52	nan
20	nan	1.54493	-nan	6.97778e-06	1219.73	8502.64	0.0854118	0.0216837	0.04	2.07963	1	1	2127.83	nan
21	nan	1.77741	-nan	1.85944e-05	1408.66	9814.12	0.0934616	0.0142222	0.06	4.31854	2	1	2458.78	nan
22	nan	2.05728	-nan	3.58736e-05	1615.87	11307.5	0.165715	0.0154036	0.06	5.08515	1	1	2820.2	nan
23	nan	2.38838	-nan	6.12963e-05	1835.59	12964.9	0.333828	0.0371241	0.06	8.52617	0	1	3201.38	nan
24	nan	2.77233	-nan	4.53082e-05	2059.33	14750.9	0.588487	0.0915585	0.06	140.526	0	1	3586.89	nan
25	nan	3.20725	-nan	8.16051e-05	2276.04	16610.5	0.777732	0.198597	0.08	626.036	2	1	3957.2	nan
26	nan	3.68641	-nan	0.000783718	2473.01	18466.9	2.25177	0.310483	0.13	1660.37	5	2	4290.15	nan
27	nan	4.19712	-nan	0.00125043	2637.07	20232.1	9.11008	0.43707	0.16	2378.12	3	2	4563.35	nan
28	nan	4.72026	-nan	0.00156628	2756.31	21810.1	18.866	1.97284	0.23	3052.91	7	2	4757.02	nan
29	nan	5.23073	-nan	0.00159892	2821.8	23109.5	29.1669	5.93861	0.27	3807.03	4	2	4856.82	nan
30	nan	5.69917	-nan	0.00176952	2828.86	24048.2	37.6922	10.9693	0.32	5482.26	5	4	4855.99	nan
31	nan	6.09483	-nan	0.00222776	2777.87	24570.9	46.4463	15.7852	0.4	7438.58	8	4	4756.35	nan
32	nan	6.38941	-nan	0.00269406	2674.08	24649.1	57.8214	19.9004	0.47	10026.7	7	4	4567.88	nan
33	nan	6.56097	-nan	0.00309125	2526.76	24289.2	70.6256	24.6176	0.56	12720	9	4	4307.01	nan
34	nan	6.59726	-nan	0.00346288	2347.64	23528.9	82.9858	30.5618	0.59	15559.8	3	6	3994.08	nan
35	nan	6.49753	-nan	0.00374754	2149.3	22440.1	93.7331	36.9192	0.7	17882.1	11	7	3650.59	nan
36	nan	6.27253	-nan	0.00501764	1943.68	21097.5	103.546	42.8694	0.85	20393.7	15	8	3296.66	nan
37	nan	5.94255	-nan	0.00516917	1740.94	19579.9	117.295	47.8008	0.96	23321.1	11	10	2949.3	nan
38	nan	5.53425	-nan	0.00505628	1548.88	17976.7	124.128	53.5398	1.1	26087.5	14	10	2621.44	nan
39	nan	5.07678	-nan	0.00510334	1372.83	16362.5	123.874	59.6014	1.19	28645	9	10	2321.76	nan
40	nan	4.59828	-nan	0.00569478	1215.83	14794.9	120.633	61.7729	1.38	32801.3	19	11	2055.14	nan
41	nan	4.12316	-nan	0.00626308	1079.04	13292.4	118.271	60.8311	1.49	39408.1	11	13	1823.31	nan
42	nan	3.67048	-nan	0.00701099	962.277	11931.7	116.174	59.3325	1.62	45664.1	13	13	1625.78	nan
43	nan	3.25351	-nan	0.00798769	864.487	10720.5	114.802	58.3489	1.69	51768.1	7	15	1460.61	nan
44	nan	2.88009	-nan	0.0085958	784.112	9657.97	114.143	57.4591	1.76	59548.4	7	15	1325.03	nan
45	nan	2.55359	-nan	0.00916116	719.294	8724.21	112.405	56.8459	1.82	67235.3	6	16	1216.03	nan
46	nan	2.27399	-nan	0.00982445	668.336	7945.25	109.73	56.4077	1.95	74998.6	13	17	1130.6	nan
47	nan	2.03906	-nan	0.0104857	629.636	7305.63	106.964	55.4799	2.09	83674	14	17	1066	nan
48	nan	1.84527	-nan	0.0108017	601.777	6776.42	104.151	54.0268	2.18	93069.6	9	18	1019.79	nan
49	nan	1.68857	-nan	0.0112553	583.436	6369.9	100.847	52.6907	2.21	104301	3	19	989.913	nan
50	nan	1.56482	-nan	0.0116593	573.65	6058.29	97.88	51.1895	2.3	114432	9	19	974.636	nan
51	nan	1.47021	-nan	0.0124157	571.549	5846.78	95.4949	49.5995	2.36	124524	6	21	972.468	nan
52	nan	1.40132	-nan	0.0129779	576.265	5725.22	94.4838	48.2983	2.42	133383	6	21	982.084	nan
53	nan	1.35523	-nan	0.0134263	587.138	5679.06	94.42	47.3693	2.45	142380	3	22	1002.21	nan
54	nan	1.32947	-nan	0.0135635	603.265	5690.84	94.991	46.9515	2.48	152474	3	22	1031.5	nan
55	nan	1.32195	-nan	0.0133033	623.826	5772.25	95.7761	47.0924	2.46	163226	4	22	1068.43	nan
56	nan	1.33082	-nan	0.0137656	647.855	5897.69	97.1766	47.4013	2.51	174138	5	22	1111.18	nan
57	nan	1.35436	-nan	0.0141187	674.133	6074.84	98.7076	47.94	2.59	184111	8	23	1157.56	nan
58	nan	1.39079	-nan	0.0140475	701.073	6289.13	101.256	48.7559	2.63	194438	4	23	1204.98	nan
59	nan	1.43812	-nan	0.0141168	727.205	6511.19	104.003	49.6088	2.66	205160	3	23	1250.55	nan
60	nan	1.49401	-nan	0.0141704	750.513	6747.67	107.127	50.9481	2.72	214551	6	23	1291.11	nan
61	nan	1.55564	-nan	0.0146608	769.396	6966.63	110.804	52.3621	2.83	223200	11	25	1323.54	nan
62	nan	1.61968	-nan	0.0151266	782.248	7172.75	115.549	54.0458	2.92	234409	9	27	1344.97	nan
63	nan	1.68228	-nan	0.0153283	787.493	7344	120.829	56.182	3	246620	8	27	1353.1	nan
64	nan	1.73927	-nan	0.0154729	784.421	7463.63	125.669	58.7427	3.14	256660	14	27	1346.49	nan
65	nan	1.78636	-nan	0.0156165	772.468	7504	129.889	61.2316	3.24	266288	10	28	1324.72	nan
66	nan	1.81955	-nan	0.0165701	752.124	7468	133.561	63.4333	3.32	276598	8	30	1288.45	nan
67	nan	1.83547	-nan	0.0174304	724.336	7373.34	138.171	65.5309	3.5	286171	18	30	1239.4	nan
68	nan	1.83182	-nan	0.018404	690.584	7199.53	142.939	67.5085	3.63	295138	13	30	1180.08	nan
69	nan	1.80763	-nan	0.0186453	652.424	6972.18	146.959	69.9305	3.72	301733	9	33	1113.54	nan
70	nan	1.76343	-nan	0.0181933	611.714	6683.91	148.281	72.2527	3.82	308278	10	34	1043.04	nan
71	nan	1.70117	-nan	0.017521	570.417	6353.3	145.634	73.7886	3.9	315523	8	34	971.704	nan
72	nan	1.62401	-nan	0.0176283	530.066	6012.1	139.893	73.969	3.97	322924	7	34	902.346	nan
73	nan	1.53596	-nan	0.0177204	492.16	5666.22	133.61	72.2273	4.04	330139	7	32	837.284	nan
74	nan	1.44137	-nan	0.0181982	457.664	5311.29	127.261	69.0648	4.13	336673	9	35	778.301	nan
75	nan	1.34459	-nan	0.0179354	427.308	4967.96	121.235	65.7301	4.2	341953	7	35	726.671	nan
76	nan	1.24957	-nan	0.0174921	401.699	4650.34	114.322	62.6162	4.3	347980	10	34	683.241	nan
77	nan	1.15964	-nan	0.0168665	381.201	4375.57	106.668	59.6282	4.35	356900	5	35	648.55	nan
78	nan	1.0774	-nan	0.0172933	365.956	4134.38	98.9871	56.0279	4.41	363854	6	35	622.95	nan
79	nan	1.00476	-nan	0.0184202	356.118	3934.61	93.0076	52.0279	4.46	369717	5	36	606.736	nan
80	nan	0.942985	-nan	0.0189321	351.859	3791.01	89.1492	48.5187	4.54	376284	8	36	600.257	nan
81	nan	0.892906	-nan	0.0191136	353.549	3692.89	86.3026	45.9123	4.59	383135	5	36	604.023	nan
82	nan	0.855046	-nan	0.019828	361.514	3646.58	84.1358	44.1132	4.66	387966	7	37	618.796	nan
83	nan	0.829804	-nan	0.0215045	376.317	3658.48	83.5303	42.7719	4.73	394139	7	37	645.671	nan
84	nan	0.817617	-nan	0.0217183	398.91	3741.7	85.0883	41.9984	4.75	401850	2	37	686.159	nan
85	nan	0.819101	-nan	0.0234793	430.293	3891.03	87.6427	42.1006	4.81	412218	6	38	742.245	nan
86	nan	0.835179	-nan	0.0247416	471.788	4117.4	92.8719	42.9563	4.88	419967	7	39	816.435	nan
